i,robot,source,target,t_assign,t_done,duration,result
1,AMR_1,IN-1,B2-L1,29.50,163.56,134.06,ok
2,AMR_2,IN-1,A1-L1,30.00,94.58,64.58,ok
3,AMR_2,B2-L1,OUT-1,95.00,158.90,63.90,ok
4,AMR_2,IN-1,B1-L2,159.00,212.29,53.29,ok
5,AMR_1,A1-L1,OUT-2,164.00,209.87,45.87,ok
6,AMR_1,OUT-1,A2-L1,210.00,249.47,39.47,ok
7,AMR_2,IN-1,B2-L2,212.50,283.59,71.09,ok
8,AMR_1,B1-L2,OUT-1,249.50,303.06,53.56,ok
9,AMR_2,OUT-2,A1-L2,284.00,344.33,60.33,ok
10,AMR_1,A2-L1,OUT-2,303.50,384.93,81.43,ok

total,355.43
max_single,134.06,#1
