i,robot,source,target,t_assign,t_done,duration,result
1,AMR_2,IN-1,B2-L1,30.00,93.36,63.36,ok
2,AMR_1,IN-1,A1-L1,30.50,128.44,97.94,ok
3,AMR_2,B2-L1,OUT-1,93.50,137.46,43.96,ok
4,AMR_1,IN-1,B1-L2,128.50,236.63,108.13,ok
5,AMR_2,A1-L1,OUT-2,137.50,194.30,56.80,ok
6,AMR_2,OUT-1,A2-L1,194.50,233.26,38.76,ok
7,AMR_2,IN-1,B2-L2,233.50,309.47,75.97,ok
8,AMR_1,B1-L2,OUT-1,237.00,278.06,41.06,ok
9,AMR_1,OUT-2,A1-L2,278.50,303.21,24.71,ok
10,AMR_1,A2-L1,OUT-2,303.50,343.40,39.90,ok

total,313.40
max_single,108.13,#4
